Problema	H0	GraphPlanHeuristic	GraphPlanHeuristicOpt	HSP_AddHeuristic	HSP_MaxHeuristic
4-0	6	6	6	6	6
4-1	10	10	10	10	10
4-2	6	6	6	6	6
5-0	12	12	12	14	14
5-1	10	10	10	10	10
5-2	16	18	16	16	16
6-0	12	12	12	20	12
6-1	10	16	10	10	10
6-2	20	22	22	20	24
7-0	20	24	22	26	28
7-1	22	24	24	22	26
7-2	20	22	24	28	22
8-0	18	-1	20	20	26
8-1	20	-1	20	20	26
8-2	16	-1	16	20	20
9-0	-1	-1	-1	30	30
9-1	-1	-1	-1	32	38
9-2	-1	-1	26	38	34
10-0	-1	-1	-1	34	-1
10-1	-1	-1	-1	40	-1
10-2	-1	-1	-1	38	-1
11-0	-1	-1	-1	-1	-1
11-1	-1	-1	-1	38	-1
11-2	-1	-1	-1	-1	-1
12-0	-1	-1	-1	44	-1
12-1	-1	-1	-1	50	-1
13-0	-1	-1	-1	-1	-1
13-1	-1	-1	-1	-1	-1
14-0	-1	-1	-1	48	-1
14-1	-1	-1	-1	48	-1
15-0	-1	-1	-1	58	-1
15-1	-1	-1	-1	-1	-1
16-1	-1	-1	-1	-1	-1
16-2	-1	-1	-1	70	-1
17-0	-1	-1	-1	-1	-1

