Problema	H0	GraphPlanHeuristic	GraphPlanHeuristicOpt	HSP_AddHeuristic	HSP_MaxHeuristic
4-0	2.4099331233	1.7403626895	1.6812412374	1.3979400087	1.7242758696
4-1	2.3502480183	1.6627578317	1.6232492904	1.5051499783	1.7160033436
4-2	2.3424226808	1.6334684556	1.4313637642	1.3802112417	1.6434526765
5-0	3.2166935992	2.4885507165	2.3201462861	1.9190780924	2.2227164711
5-1	3.2711443179	2.4471580313	2.2121876044	1.6989700043	2.1818435879
5-2	3.3104808915	3.0784568181	2.8115750059	1.9084850189	2.2380461031
6-0	4.0154854982	2.7708520116	2.2718416065	2.1613680022	2.3783979009
6-1	4.2331992416	4.0729847446	2.7671558661	1.9590413923	2.5728716022
6-2	4.2665374302	4.0059094465	3.816572696	2.1367205672	2.7543483357
7-0	5.1756886263	4.7630009771	3.7682680165	2.2013971243	3.498861689
7-1	5.267823854	5.1258129595	4.7450279227	2.4424797691	3.5510838652
7-2	5.2591756273	4.9144965349	4.6562994839	2.2624510897	3.6392872259
8-0	6.2823474486	-1	4.8960906023	2.4082399653	4.2825768007
8-1	6.3143541582	-1	4.9098073339	2.3710678623	4.4371319661
8-2	6.2500748695	-1	4.1069044989	2.6180480967	4.0147724741
9-0	-1	-1	-1	2.6720978579	5.3047704885
9-1	-1	-1	-1	2.6683859167	5.2607366373
9-2	-1	-1	5.0779562573	2.7867514221	5.1325254374
10-0	-1	-1	-1	2.7209857442	-1
10-1	-1	-1	-1	2.8115750059	-1
10-2	-1	-1	-1	4.0167827125	-1
11-0	-1	-1	-1	-1	-1
11-1	-1	-1	-1	3.4775553322	-1
11-2	-1	-1	-1	-1	-1
12-0	-1	-1	-1	3.7516639463	-1
12-1	-1	-1	-1	3.4510184522	-1
13-0	-1	-1	-1	-1	-1
13-1	-1	-1	-1	-1	-1
14-0	-1	-1	-1	3.4279727136	-1
14-1	-1	-1	-1	3.5359267414	-1
15-0	-1	-1	-1	4.2762779369	-1
15-1	-1	-1	-1	-1	-1
16-1	-1	-1	-1	-1	-1
16-2	-1	-1	-1	4.7034719383	-1
17-0	-1	-1	-1	-1	-1

