Problema	H0	GraphPlanHeuristic	GraphPlanHeuristicOpt	HSP_AddHeuristic	HSP_MaxHeuristic
4-0	1.963127727	1.964083802	1.5885875006	1.3439397822	1.3896567194
4-1	1.7322239175	1.9350689918	1.5686104493	1.2453483698	1.5804424585
4-2	1.9794610882	2.7155744214	1.8490514099	1.9475323436	2.0791298841
5-0	2.2964127831	3.2439454189	2.8652537899	2.7367028977	2.2283609162
5-1	2.3623251257	3.42995537	2.435151142	1.7971357225	2.2495361047
5-2	2.3454767785	3.5630329231	2.8637346128	1.9594137046	2.4969160312
6-0	3.117230099	3.5390100829	2.5811348943	2.3048733481	2.5024871291
6-1	3.0174817669	4.5783695532	2.9340588622	1.9566749864	2.5350857493
6-2	3.4299510442	4.8844927931	4.0179501077	2.3002121227	2.9526153557
7-0	4.5546488043	5.9278865814	4.1799351894	2.4460808297	3.5530791908
7-1	4.3547460408	6.0711491121	5.0771677932	2.797944715	3.6457240059
7-2	4.2505795318	5.6786902962	4.8848570789	2.4056955561	3.6554427507
8-0	5.84431273	-1	5.4000541035	2.7280287603	4.4288104401
8-1	5.9576366349	-1	5.3043609234	2.6369785203	4.6569541032
8-2	5.9120022761	-1	4.740044376	3.3633864074	4.7662671225
9-0	-1	-1	-1	3.3051099408	5.4426906772
9-1	-1	-1	-1	3.3672389231	5.6725307701
9-2	-1	-1	5.6370955346	3.3654720235	5.6749502882
10-0	-1	-1	-1	3.5028880079	-1
10-1	-1	-1	-1	3.4232616077	-1
10-2	-1	-1	-1	4.4961329403	-1
11-0	-1	-1	-1	-1	-1
11-1	-1	-1	-1	4.1536329842	-1
11-2	-1	-1	-1	-1	-1
12-0	-1	-1	-1	4.3918142333	-1
12-1	-1	-1	-1	4.3140042132	-1
13-0	-1	-1	-1	-1	-1
13-1	-1	-1	-1	-1	-1
14-0	-1	-1	-1	4.1705363347	-1
14-1	-1	-1	-1	4.3214910098	-1
15-0	-1	-1	-1	4.9597666069	-1
15-1	-1	-1	-1	-1	-1
16-1	-1	-1	-1	-1	-1
16-2	-1	-1	-1	5.8665820423	-1
17-0	-1	-1	-1	-1	-1
