Problema	H0	GraphPlanHeuristic	GraphPlanHeuristicOpt	HSP_AddHeuristic	HSP_MaxHeuristic
4-0	1.8195439355	2.4238681898	1.5634810854	1.2860071221	1.4337698339
4-1	1.6974037232	1.7310243798	1.3068537487	0.9772662124	1.203576775
4-2	1.3372595398	2.0420239272	1.5947239464	1.2019430634	1.4689378057
5-0	-1	-1	-1	-1	-1
5-1	2.4381624717	3.3768086406	2.9359956983	1.8281441073	2.1583624921
5-2	-1	-1	-1	-1	-1
6-0	-1	-1	-1	-1	-1
6-1	1	-1	-1	-1	-1
6-2	3.1052648668	4.5998736877	3.2718485738	2.3246527855	2.8276406223
7-0	4.368099177	5.0101744427	3.5223542352	2.6239931578	3.6984598431
7-1	-1	-1	-1	-1	-1
7-2	-1	-1	-1	-1	-1
8-0	5.7813469315	-1	4.9352684894	2.6864932681	4.4237302109
8-1	5.8542541238	-1	5.1153495904	2.6556665692	4.6341860643
8-2	5.781521805	5.7832443802	4.3825510225	3.121776445	4.2088289847
9-0	-1	-1	-1	-1	-1
9-1	-1	-1	6.046522384	-1	5.5535648683
9-2	-1	-1	4.1927034627	-1	5.3390186008
10-0	-1	-1	-1	3.4949584081	-1
10-1	-1	-1	-1	3.7506549349	-1
10-2	-1	-1	-1	-1	-1
11-0	-1	-1	-1	-1	-1
11-1	-1	-1	-1	4.0503082059	-1
11-2	-1	-1	-1	6.0823605374	-1
12-0	1	-1	-1	4.4228310476	-1
12-1	-1	-1	-1	4.3544478633	-1
13-0	-1	-1	-1	-1	-1
13-1	-1	-1	-1	-1	-1
14-0	-1	-1	-1	-1	-1
14-1	-1	-1	-1	-1	-1
15-0	-1	-1	-1	-1	-1
15-1	-1	-1	-1	-1	-1
16-1	-1	-1	-1	-1	-1
16-2	-1	-1	-1	6.1571556799	-1
17-0	-1	-1	-1	-1	-1


