Problema	H0	GraphPlanHeuristic	GraphPlanHeuristicOpt	HSP_AddHeuristic	HSP_MaxHeuristic
2	1.7481559346	1.59469539	1.4210330633	1.3294310147	1.4164869962
3	2.4757762908	2.0056196874	2.2342283031	2.2956463124	2.6456783676
4	3.2532431952	2.5749703152	3.4238060754	2.9452268093	3.1897357524
5	4.4874843708	2.540637393	4.1392823881	3.0288310315	4.4338943137
6	-1	3.3664192893	5.0746745557	3.7298641793	6.1829829391
7	-1	3.2294183837	-1	4.072458885	-1
8	-1	-1	-1	-1	-1
9	-1	4.0825215302	-1	4.3990955952	-1
10	-1	3.8644508398	-1	4.3286648125	-1
2B-2R	1.371773304	1.480962231	1.744855566	1.0209020734	1.1595921855
3B-2R	1.192383578	1.8793698575	1.807358467	1.3801590328	1.5344011136
4B-2R	1.711554607	2.6839237151	2.356427585	1.8434541309	2.120925094
5B-2R	2.5678184486	3.5372490029	2.9421835564	2.6114811388	3.1805539304
6B-2R	2.9139694529	4.1754901413	3.446183048	2.7727317702	3.3438452191
7B-2R	3.5509382672	4.5541366083	3.8923045719	3.4472181447	3.9913084209
8B-2R	3.3612717008	4.6383556528	4.3278501955	3.3277837568	3.7829411624
9B-2R	4.0667064101	5.3971116695	4.7952711927	4.1380164768	4.5327216665
10B-2R	4.469618908	5.859572506	5.251690792	3.9824519288	4.7392347541
