Problema	H0	GraphPlanHeuristic	GraphPlanHeuristicOpt	HSP_AddHeuristic	HSP_MaxHeuristic
4-0	2.096910013	1.5682017241	1.5185139399	1.278753601	1.5797835966
4-1	2.0413926852	1.4771212547	1.4313637642	1.3424226808	1.5563025008
4-2	2.0374264979	1.4623979979	1.278753601	1.2552725051	1.5051499783
5-0	2.8645110811	2.260071388	2.1139433523	1.785329835	2.0755469614
5-1	2.9009130677	2.2174839442	2	1.5797835966	2.0413926852
5-2	2.937517892	2.778874472	2.5440680444	1.7781512504	2.0934216852
6-0	3.6406801533	2.525044807	2.0899051114	2.0413926852	2.1958996524
6-1	3.8196097328	3.7332775339	2.5717088318	1.8388490907	2.4502491083
6-2	3.8486201174	3.683227206	3.497344381	2.0211892991	2.611723308
7-0	4.7379555669	4.4604016522	3.530711838	2.0863598307	3.3085644136
7-1	4.8194781284	4.7432745235	4.4067274828	2.3344537512	3.3449814139
7-2	4.8107431524	4.5898491103	4.3376389322	2.103803721	3.4483971035
8-0	5.8074531673	-1	4.6349908647	2.3222192947	4.0606223043
8-1	5.8357140291	-1	4.6346787522	2.278753601	4.2190341061
8-2	5.7777986049	-1	3.8889092593	2.5132176001	3.807737922
9-0	-1	-1	-1	2.591064607	5.0737659919
9-1	-1	-1	-1	2.5888317256	5.0222963718
9-2	-1	-1	4.8482322363	2.6776069527	4.8896210017
10-0	-1	-1	-1	2.6493348587	-1
10-1	-1	-1	-1	2.7315887652	-1
10-2	-1	-1	-1	3.7746629225	-1
11-0	-1	-1	-1	-1	-1
11-1	-1	-1	-1	3.3710678623	-1
11-2	-1	-1	-1	-1	-1
12-0	-1	-1	-1	3.6410773133	-1
12-1	-1	-1	-1	3.3690302218	-1
13-0	-1	-1	-1	-1	-1
13-1	-1	-1	-1	-1	-1
14-0	-1	-1	-1	3.3736474722	-1
14-1	-1	-1	-1	3.4404367661	-1
15-0	-1	-1	-1	4.1583624921	-1
15-1	-1	-1	-1	-1	-1
16-1	-1	-1	-1	-1	-1
16-2	-1	-1	-1	4.598067905	-1
17-0	-1	-1	-1	-1	-1

