Problema	ILAO	RTDP	LRTDP	VI
Nav-01	0.036143791	60.301047874	0.016611328	0.030361631
Nav-02	0.045842846	60.201353812	0.01882317	0.037916905
Nav-03	0.051659929	60.201129013	0.016737146	0.047851886
Nav-04	0.063085444	60.301247365	0.01673882	0.07218306
Nav-05	0.044923247	60.301198395	0.025877867	0.068034575
Nav-06	0.078740884	60.301084605	0.032523496	0.094284676
Nav-07	0.101509083	60.30119555	0.036411994	0.11923924
Nav-08	0.049430872	60.200935394	0.058449945	0.137561098
Nav-09	0.087595371	60.301224649	0.114325461	0.190572282
Nav-10	0.115400615	60.301193063	0.171994963	0.246680063
