Problema	ILAO	RTDP	LRTDP	VI
tw-01	0.001368465	60.201103218	0.002415466	0.066192414
tw-02	0.007583765	60.301237273	0.011614834	0.101087141
tw-03	0.016116698	60.301417297	0.029156426	0.147462745
tw-04	0.0316701	60.301675977	0.049317821	0.208444847
tw-05	0.060978969	60.301177462	0.088700882	0.313993771
tw-06	0.076849279	60.301224311	0.123012194	0.35868995
tw-07	0.113377474	60.301300138	0.169959414	0.46589935
tw-08	0.184042297	60.30120827	0.247070637	0.578314408
tw-09	0.223861949	60.301328709	0.342979907	0.731102861
tw-10	0.311194537	60.201123376	0.492994862	0.922700472
